"Golden Gate","Richmond Bridge","Carquinez Bridge","Benicia Bridge","Decker_IsS","ThreeMile","SR_RioVista","SR_Mouth","SR_SteamboatSl","Georg_SloughN","SR_DCC","SR_BlwSteam","SR_SutterSl","SR_Freeport","UpRiver"
0,0,4,15,16.5,2.5,7,0.333333333333333,2,0,0.333333333333333,1.33333333333333,0,1.5,2.5
0,0,17.5,14.5,12,0.5,2.75,0.25,1,0.5,2.75,1.25,0,1,4
0,0,3,4,92.5,0,9,0.25,0.5,0,0.25,0.25,1,1.25,22
0,0,18.5,22.5,5,0,0,0,0,0,0,0,0,0,0
0,0,21.5,32.5,7,0,0,0,0,0,0,0,0,0,0
0,0,37,59,16,0,0,0,0,0,0,0,0,0,0
0,0,94.5,52.5,6,0,1,0,0,0,0,0,0,0,0
0,0,61.5,72.5,6,0,1,0,0,0,0,0,0,0,0
0,0,39.5,60.5,10,0,1,0,0,0,0,0,0,0,0
0,0,69,6,12,0,0,0,0,0,0,0,0,0,0
0,0,9.5,18.5,12.1666666666667,0,8.66666666666667,0.5,0.666666666666667,0,0.5,0.5,1,0,19
0,0,6.5,21.5,11,0,6,0,0,0,0.5,0.5,1,0,0
0,0,10.5,21.5,8.83333333333333,0.333333333333333,4.83333333333333,1,2,0,0.5,0.5,1,0,0
0,0,32.5,12.5,7.83333333333333,0.5,5.33333333333333,0.833333333333333,3.5,0.5,1.83333333333333,1.33333333333333,2,3.33333333333333,15
0,0,50,38,4.41666666666667,0,3.41666666666667,0.25,1.91666666666667,0,0,0,0,0,0
0,0,8,5,7.25,0.25,5.58333333333333,0.583333333333333,0,0,1.33333333333333,1.5,0,1.5,21
0,1,21,11,6.83333333333333,0.5,3.33333333333333,0,0.333333333333333,0,0,0,0,0,0
0,12,11.5,14.5,1.25,0,1.25,0.25,0,0,0.25,1,2,0,11
0,81.5,24,35.5,9.5,0,4.5,0,0,0,0,0,0,0,0
0,0,6,2,7,0,3,0.5,3.5,0,1,2,1,3,14
0,0,24.5,9.5,10.5,0,13.25,1.75,0.5,0.75,1.75,3.5,1,0,0
0,0,2,1,2.83333333333333,0,2.33333333333333,1.83333333333333,4.66666666666667,0,0.333333333333333,46,0,0,0
0,74,2,3,5,0,0,0,0,0,0,0,0,0,0
0,6,5,11,13.8333333333333,0,1.83333333333333,0,1,0,0.333333333333333,0.5,2.5,2,0
0,0,3.5,2.5,2.5,0,18,0,6.5,0,0,0.5,2.5,2,18
0,0,152.5,25.5,3,0,0,0,0,0,0,0,0,0,0
0,2,49.5,36.5,6,0,0,0,0,0,0,0,0,0,0
0,0,53,19,0,0,0,0,0,0,0,0,0,0,0
0,0,20,24,8,0,0,0,0,0,0,0,0,0,0
0,0,81.5,25.5,1.66666666666667,0,1.16666666666667,0,1.16666666666667,0,0,0,0,0,0
